No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
L75 ,Limestone,Qaw el-Kebir ,26.92583,31.50517,Limestone,P/GR ,2,,,,,,,,,,,,,,
L76 ,Limestone,el-Nawawra ,26.83533,31.53633,Limestone,U ,2,,,,,,,,,,,,,,
L77 ,Limestone,el-Khazindariya ,26.79451,31.54151,Limestone,P ,2,,,,,,,,,,,,,,
L78 ,Limestone,Nazlet el-Haridi ,26.77483,31.55351,Limestone,U ,2,,,,,,,,,,,,,,
L79 ,Limestone,Abu el-Nasr ,26.76233,31.56367,Limestone,GR ,2,,,,,,,,,,,,,,
L80 ,Limestone,Abu el-Nasr/el-Galawiya ,26.76167,31.59333,Limestone,P ,2,,,,,,,,,,,,,,
L81 ,Limestone,el-Galawiya ,26.75951,31.62233,Limestone,U ,2,,,,,,,,,,,,,,
L82 ,Limestone,Istabl Antar ,26.71283,31.67483,Limestone,P ,2,,,,,,,,,,,,,,
L83 ,Limestone,Qurnet Salamuni ,26.61901,31.75483,Limestone,U ,U,,,,,,,,,,,,,,
L84 ,Limestone,el-Salamuni ,26.61783,31.76451,Limestone,P ,3,,,,,,,,,,,,,,
L85 ,Limestone,Wadi el-Muluk ,25.74633,32.62251,Limestone,P/GR ,2,,,,,,,,,,,,,,
L86 ,Limestone,el-Gebelein / el-Ghrera ,25.49767,32.47901,Limestone,P/GR ,4,,,,,,,,,,,,,,
L87 ,Limestone,Nag el-Ahaywa ,26.43433,31.83717,Limestone,P ,U,,,,,,,,,,,,,,
L88 ,Limestone,Sidi Musa ,26.41501,31.84533,Limestone,P/GR ,2,,,,,,,,,,,,,,
L89 ,Limestone,Nag el-Buza ,26.09501,32.30301,Limestone,U ,2,,,,,,,,,,,,,,
L90 ,Limestone,Gebel el-Gir ,26.10451,32.69501,Limestone,P/GR ,2,,,,,,,,,,,,,,
L91 ,Limestone,el-Dibabiya ,25.50133,32.51933,Limestone,P/GR ,2,,,,,,,,,,,,,,
L92 ,Limestone,Wadi Umm Zanatir ,28.93833,32.39501,Limestone,B ,1,,,,,,,,,,,,,,
L93 ,Limestone,Wadi Abu Mu’aymil ,28.89833,32.32501,Limestone,B ,3,,,,,,,,,,,,,,
L94 ,Limestone,Wadi el-Sheikh Muhammad ,28.12433,30.78701,Limestone,U ,2,,,,,,,,,,,,,,
L95 ,Limestone,Wadi Umm Damarana ,28.82483,32.06567,Limestone,I ,4,,,,,,,,,,,,,,
L96 ,Limestone,Abu Sir 2,9.88301,31.20417,Limestone,P ,2,,,,,,,,,,,,,,
L97 ,Limestone,Dahshur - Mastaba Faraon ,29.82017,31.20083,Limestone,P ,2,,,,,,,,,,,,,,
L98 ,Limestone,Dahshur - Red Pyramid ,29.80201,31.19667,Limestone,P ,2,,,,,,,,,,,,,,
L99 ,Limestone,Siwa Oasis ,29.20501,25.54333,Limestone,P ,4,,,,,,,,,,,,,,
S1 ,Sandstone,Hierakonpolis ,25.07567,32.74333,Sandstone,P/GR ,2,,,,,,,,,,,,,,
S2 ,Sandstone,el-Mahamid ,25.13767,32.78267,Sandstone,P/GR ,2,,,,,,,,,,,,,,
S3 ,Sandstone,el-Kab ,25.13451,32.81751,Sandstone,P/GR ,1,,,,,,,,,,,,,,
S4 ,Sandstone,el-Keijal ,25.06833,32.86301,Sandstone,U ,2,,,,,,,,,,,,,,
S5 ,Sandstone,Nag el-Raqiein ,24.74633,32.92033,Sandstone,U ,2,,,,,,,,,,,,,,
S6 ,Sandstone,Nag el-Hosh ,24.73651,32.92117,Sandstone,GR ,1,,,,,,,,,,,,,,
S7 ,Sandstone,Wadi el-Shatt el-Rigal ,24.68501,32.92351,Sandstone,P ,1,,,,,,,,,,,,,,
S8 ,Sandstone,Nag el-Hammam - N ,24.67751,32.92483,Sandstone,P ,2,,,,,,,,,,,,,,
S9a ,Sandstone,Gebel el-Silsila - W ,24.64901,32.92917,Sandstone,P ,2,,,,,,,,,,,,,,
S9b ,Sandstone,Gebel el-Silsila - E ,24.64283,32.93333,Sandstone,P/GR ,1,,,,,,,,,,,,,,
S10 ,Sandstone,el-Kilh Sharq ,25.04951,32.88883,Sandstone,GR ,2,,,,,,,,,,,,,,
S11 ,Sandstone,el-Bueib ,24.80983,32.91433,Sandstone,P ,3,,,,,,,,,,,,,,
S12 ,Sandstone,Nag el-Fuqani ,24.20883,32.85883,Sandstone,GR ,2,,,,,,,,,,,,,,
